id;name;compartment;charge;formula
2agpg161_c;2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1);c;-1;C22H42O9P1
2agpg161_p;2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1);p;-1;C22H42O9P1
2agpg180_c;2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0);c;-1;C24H48O9P1
2agpg180_p;2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0);p;-1;C24H48O9P1
2agpg181_c;2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1);c;-1;C24H46O9P1
2agpg181_p;2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1);p;-1;C24H46O9P1
2ahbut_c;(S)-2-Aceto-2-hydroxybutanoate;c;-1;C6H9O4
2amsa_c;2-Aminomalonate semialdehyde;c;0;C3H5NO3
2aobut_c;L-2-Amino-3-oxobutanoate;c;0;C4H7NO3
2cpr5p_c;1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate;c;-3;C12H13NO9P
2dda7p_c;2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate;c;-3;C7H10O10P
2ddecg3p_c;2-dodecanoyl-sn-glycerol 3-phosphate;c;-1;C15H30O7P1
2ddecg3p_p;2-dodecanoyl-sn-glycerol 3-phosphate;p;-1;C15H30O7P1
2ddg6p_c;2-Dehydro-3-deoxy-D-gluconate 6-phosphate;c;-3;C6H8O9P
2ddglcn_c;2-Dehydro-3-deoxy-D-gluconate;c;-1;C6H9O6
2ddglcn_e;2-Dehydro-3-deoxy-D-gluconate;e;-1;C6H9O6
2ddglcn_p;2-Dehydro-3-deoxy-D-gluconate;p;-1;C6H9O6
2dh3dgal6p_c;2-Dehydro-3-deoxy-D-galactonate 6-phosphate;c;-3;C6H8O9P
2dh3dgal_c;2-Dehydro-3-deoxy-D-galactonate;c;-1;C6H9O6
2dhglcn_c;2-Dehydro-D-gluconate;c;-1;C6H9O7
12dgr181_c;1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1);c;0;C39H72O5
10fthf_c;10-Formyltetrahydrofolate;c;-2;C20H21N7O7
2dhguln_c;2-Dehydro-L-gulonate;c;-1;C6H9O7
12dgr120_c;1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0);c;0;C27H52O5
2dhp_c;2-Dehydropantoate;c;-1;C6H9O4
12dgr181_p;1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1);p;0;C39H72O5
2dmmq8_c;2-Demethylmenaquinone 8;c;0;C50H70O2
12ppd__R_c;(R)-Propane-1,2-diol;c;0;C3H8O2
2dmmql8_c;2-Demethylmenaquinol 8;c;0;C50H72O2
12dgr120_p;1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0);p;0;C27H52O5
2dr1p_c;2-Deoxy-D-ribose 1-phosphate;c;-2;C5H9O7P
12dgr140_c;1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0);c;0;C31H60O5
12dgr140_p;1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0);p;0;C31H60O5
12ppd__R_e;(R)-Propane-1,2-diol;e;0;C3H8O2
2dr5p_c;2-Deoxy-D-ribose 5-phosphate;c;-2;C5H9O7P
12ppd__R_p;(R)-Propane-1,2-diol;p;0;C3H8O2
12dgr141_c;1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1);c;0;C31H56O5
2h3oppan_c;2-Hydroxy-3-oxopropanoate;c;-1;C3H3O4
12dgr141_p;1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1);p;0;C31H56O5
12ppd__S_c;(S)-Propane-1,2-diol;c;0;C3H8O2
2hdec9eg3p_c;2-hexadec-9-enoyl-sn-glycerol 3-phosphate;c;-1;C19H36O7P1
12ppd__S_e;(S)-Propane-1,2-diol;e;0;C3H8O2
12dgr160_c;1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0);c;0;C35H68O5
2hdec9eg3p_p;2-hexadec-9-enoyl-sn-glycerol 3-phosphate;p;-1;C19H36O7P1
12dgr160_p;1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0);p;0;C35H68O5
12ppd__S_p;(S)-Propane-1,2-diol;p;0;C3H8O2
2hdecg3p_c;2-hexadecanoyl-sn-glycerol 3-phosphate;c;-1;C19H38O7P1
13dpg_c;3-Phospho-D-glyceroyl phosphate;c;-4;C3H4O10P2
12dgr161_c;1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1);c;0;C35H64O5
2hdecg3p_p;2-hexadecanoyl-sn-glycerol 3-phosphate;p;-1;C19H38O7P1
12dgr161_p;1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1);p;0;C35H64O5
14glucan_c;1,4-alpha-D-glucan;c;0;C36H62O31
2ippm_c;2-Isopropylmaleate;c;-2;C7H8O4
14glucan_e;1,4-alpha-D-glucan;e;0;C36H62O31
12dgr180_c;1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0);c;0;C39H76O5
2kmb_c;2-keto-4-methylthiobutyrate;c;-1;C5H7O3S
12dgr180_p;1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0);p;0;C39H76O5
14glucan_p;1,4-alpha-D-glucan;p;0;C36H62O31
2mahmp_c;2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate;c;-3;C6H8N3O7P2
15dap_c;1,5-Diaminopentane;c;2;C5H16N2
2mcacn_c;Cis-2-Methylaconitate;c;-3;C7H5O6
15dap_e;1,5-Diaminopentane;e;2;C5H16N2
15dap_p;1,5-Diaminopentane;p;2;C5H16N2
2mcit_c;2-Methylcitrate;c;-3;C7H7O7
2me4p_c;2-C-methyl-D-erythritol 4-phosphate;c;-2;C5H11O7P
2mecdp_c;2-C-methyl-D-erythritol 2,4-cyclodiphosphate;c;-2;C5H10O9P2
1agpe120_p;1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0);p;0;C17H36NO7P1
2obut_c;2-Oxobutanoate;c;-1;C4H5O3
1agpe140_p;1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0);p;0;C19H40NO7P1
1agpe141_p;1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1);p;0;C19H38NO7P1
2odec11eg3p_c;2-octadec-11-enoyl-sn-glycerol 3-phosphate;c;-1;C21H40O7P1
1agpe160_p;1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0);p;0;C21H44NO7P1
2odec11eg3p_p;2-octadec-11-enoyl-sn-glycerol 3-phosphate;p;-1;C21H40O7P1
1agpe161_p;1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1);p;0;C21H42NO7P1
3hoctaACP_c;(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein];c;-1;C29H55N2O9PRS
2odecg3p_c;2-octadecanoyl-sn-glycerol 3-phosphate;c;-1;C21H42O7P1
3hodcoa_c;(S)-3-Hydroxyoctadecanoyl-CoA;c;-4;C39H66N7O18P3S
1agpe180_p;1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0);p;0;C23H48NO7P1
2odecg3p_p;2-octadecanoyl-sn-glycerol 3-phosphate;p;-1;C21H42O7P1
1agpe181_p;1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1);p;0;C23H46NO7P1
1agpg120_p;1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0);p;-1;C18H36O9P1
3hpalmACP_c;R-3-hydroxypalmitoyl-[acyl-carrier protein];c;-1;C27H51N2O9PRS
2ohph_c;2-Octaprenyl-6-hydroxyphenol;c;0;C46H70O2
3hpppn_c;3-(3-hydroxy-phenyl)propionate;c;-1;C9H9O3
3hpppn_e;3-(3-hydroxy-phenyl)propionate;e;-1;C9H9O3
1agpg140_p;1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0);p;-1;C20H40O9P1
1agpg141_p;1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1);p;-1;C20H38O9P1
1agpg160_p;1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0);p;-1;C22H44O9P1
1agpg161_p;1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1);p;-1;C22H42O9P1
3hpppn_p;3-(3-hydroxy-phenyl)propionate;p;-1;C9H9O3
2ombzl_c;2-Octaprenyl-6-methoxy-1,4-benzoquinol;c;0;C47H72O3
3htdcoa_c;(S)-3-Hydroxytetradecanoyl-CoA;c;-4;C35H58N7O18P3S
1agpg180_p;1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0);p;-1;C24H48O9P1
1agpg181_p;1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1);p;-1;C24H46O9P1
2omhmbl_c;2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol;c;0;C48H74O4
1ddecg3p_c;1-dodecanoyl-sn-glycerol 3-phosphate;c;-2;C15H29O7P1
3ig3p_c;C'-(3-Indolyl)-glycerol 3-phosphate;c;-2;C11H12NO6P
3mob_c;3-Methyl-2-oxobutanoate;c;-1;C5H7O3
2ommbl_c;2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol;c;0;C48H74O3
3mop_c;(S)-3-Methyl-2-oxopentanoate;c;-1;C6H9O3
1ddecg3p_p;1-dodecanoyl-sn-glycerol 3-phosphate;p;-2;C15H29O7P1
2omph_c;2-Octaprenyl-6-methoxyphenol;c;0;C47H72O2
1hdec9eg3p_c;1-hexadec-9-enoyl-sn-glycerol 3-phosphate;c;-2;C19H35O7P1
1hdec9eg3p_p;1-hexadec-9-enoyl-sn-glycerol 3-phosphate;p;-2;C19H35O7P1
3ocddec5eACP_c;3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein];c;-1;C23H39N2O9PRS
2oph_c;2-Octaprenylphenol;c;0;C46H70O
1hdecg3p_c;1-hexadecanoyl-sn-glycerol 3-phosphate;c;-2;C19H37O7P1
2p4c2me_c;2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol;c;-4;C14H22N3O17P3
1hdecg3p_p;1-hexadecanoyl-sn-glycerol 3-phosphate;p;-2;C19H37O7P1
1odec11eg3p_c;1-octadec-11-enoyl-sn-glycerol 3-phosphate;c;-2;C21H39O7P1
1odec11eg3p_p;1-octadec-11-enoyl-sn-glycerol 3-phosphate;p;-2;C21H39O7P1
2pg_c;D-Glycerate 2-phosphate;c;-3;C3H4O7P
1odecg3p_c;1-octadecanoyl-sn-glycerol 3-phosphate;c;-2;C21H41O7P1
1odecg3p_p;1-octadecanoyl-sn-glycerol 3-phosphate;p;-2;C21H41O7P1
3ocmrs7eACP_c;3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein];c;-1;C25H43N2O9PRS
3ocpalm9eACP_c;3-oxo-cis-palm-9-eoyl-[acyl-carrier protein];c;-1;C27H47N2O9PRS
1pyr5c_c;1-Pyrroline-5-carboxylate;c;-1;C5H6NO2
2pglyc_c;2-Phosphoglycolate;c;-3;C2H2O6P
1tdec7eg3p_c;1-tetradec-7-enoyl-sn-glycerol 3-phosphate;c;-2;C17H31O7P1
3ocvac11eACP_c;3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein];c;-1;C29H51N2O9PRS
3odcoa_c;3-Oxodecanoyl-CoA;c;-4;C31H48N7O18P3S
2shchc_c;2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate;c;-2;C11H10O6
3oddcoa_c;3-Oxododecanoyl-CoA;c;-4;C33H52N7O18P3S
1tdec7eg3p_p;1-tetradec-7-enoyl-sn-glycerol 3-phosphate;p;-2;C17H31O7P1
2tdec7eg3p_c;2-tetradec-7-enoyl-sn-glycerol 3-phosphate;c;-1;C17H32O7P1
1tdecg3p_c;1-tetradecanoyl-sn-glycerol 3-phosphate;c;-2;C17H33O7P1
3oddecACP_c;3-Oxododecanoyl-[acyl-carrier protein];c;-1;C23H41N2O9PRS
2tdec7eg3p_p;2-tetradec-7-enoyl-sn-glycerol 3-phosphate;p;-1;C17H32O7P1
3odecACP_c;3-Oxodecanoyl-[acyl-carrier protein];c;-1;C21H37N2O9PRS
1tdecg3p_p;1-tetradecanoyl-sn-glycerol 3-phosphate;p;-2;C17H33O7P1
2tdecg3p_c;2-tetradecanoyl-sn-glycerol 3-phosphate;c;-1;C17H34O7P1
3ohcoa_c;3-Oxohexanoyl-CoA;c;-4;C27H40N7O18P3S
3ohdcoa_c;3-Oxohexadecanoyl-CoA;c;-4;C37H60N7O18P3S
2tdecg3p_p;2-tetradecanoyl-sn-glycerol 3-phosphate;p;-1;C17H34O7P1
3ohexACP_c;3-Oxohexanoyl-[acyl-carrier protein];c;-1;C17H29N2O9PRS
23camp_e;2',3'-Cyclic AMP;e;-1;C10H11N5O6P
2tpr3dpcoa_c;2'-(5''-triphosphoribosyl)-3'-dephospho-CoA;c;-6;C26H40N7O26P5S
23camp_p;2',3'-Cyclic AMP;p;-1;C10H11N5O6P
3omrsACP_c;3-Oxotetradecanoyl-[acyl-carrier protein];c;-1;C25H45N2O9PRS
34dhpac_e;3,4-Dihydroxyphenylacetaldehyde;e;0;C8H8O3
3oocoa_c;3-Oxooctanoyl-CoA;c;-4;C29H44N7O18P3S
23ccmp_e;2',3'-Cyclic CMP;e;-1;C9H11N3O7P
3ooctACP_c;3-Oxooctanoyl-[acyl-carrier protein];c;-1;C19H33N2O9PRS
34dhpac_p;3,4-Dihydroxyphenylacetaldehyde;p;0;C8H8O3
3ooctdACP_c;3-Oxooctadecanoyl-[acyl-carrier protein];c;-1;C29H53N2O9PRS
23ccmp_p;2',3'-Cyclic CMP;p;-1;C9H11N3O7P
23cgmp_e;2',3'-Cyclic GMP;e;-1;C10H11N5O7P
34hpp_c;3-(4-Hydroxyphenyl)pyruvate;c;-1;C9H7O4
23cgmp_p;2',3'-Cyclic GMP;p;-1;C10H11N5O7P
3ohodcoa_c;3-Oxooctadecanoyl-CoA;c;-4;C39H64N7O18P3S
3amp_e;3  AMP C10H12N5O7P;e;-2;C10H12N5O7P
3opalmACP_c;3-Oxohexadecanoyl-[acyl-carrier protein];c;-1;C27H49N2O9PRS
23cump_e;2',3'-Cyclic UMP;e;-1;C9H10N2O8P
3ophb_c;3-Octaprenyl-4-hydroxybenzoate;c;-1;C47H69O3
3amp_p;3  AMP C10H12N5O7P;p;-2;C10H12N5O7P
3otdcoa_c;3-Oxotetradecanoyl-CoA;c;-4;C35H56N7O18P3S
23cump_p;2',3'-Cyclic UMP;p;-1;C9H10N2O8P
3c2hmp_c;3-Carboxy-2-hydroxy-4-methylpentanoate;c;-2;C7H10O5
23dappa_c;2,3-diaminopropionate;c;1;C3H9N2O2
23dappa_e;2,3-diaminopropionate;e;1;C3H9N2O2
3pg_c;3-Phospho-D-glycerate;c;-3;C3H4O7P
3c3hmp_c;3-Carboxy-3-hydroxy-4-methylpentanoate;c;-2;C7H10O5
3php_c;3-Phosphohydroxypyruvate;c;-3;C3H2O7P
3psme_c;5-O-(1-Carboxyvinyl)-3-phosphoshikimate;c;-4;C10H9O10P
23dappa_p;2,3-diaminopropionate;p;1;C3H9N2O2
3c4mop_c;3-Carboxy-4-methyl-2-oxopentanoate;c;-2;C7H8O5
23ddhb_c;2,3-Dihydro-2,3-dihydroxybenzoate;c;-1;C7H7O4
3sala_c;3-Sulfino-L-alanine;c;-2;C3H5NO4S
3cmp_e;3  CMP C9H12N3O8P;e;-2;C9H12N3O8P
23dhb_c;2,3-Dihydroxybenzoate;c;-1;C7H5O4
3cmp_p;3  CMP C9H12N3O8P;p;-2;C9H12N3O8P
23dhba_c;(2,3-Dihydroxybenzoyl)adenylate;c;-1;C17H17N5O10P
3ump_e;3  UMP C9H11N2O9P;e;-2;C9H11N2O9P
3ump_p;3  UMP C9H11N2O9P;p;-2;C9H11N2O9P
4abut_c;4-Aminobutanoate;c;0;C4H9NO2
4abut_e;4-Aminobutanoate;e;0;C4H9NO2
23dhbzs_c;2,3-dihydroxybenzoylserine;c;-1;C10H10NO6
23dhdp_c;2,3-Dihydrodipicolinate;c;-2;C7H5NO4
23dhmb_c;(R)-2,3-Dihydroxy-3-methylbutanoate;c;-1;C5H9O4
3dhguln_c;3-Dehydro-L-gulonate;c;-1;C6H9O7
23dhmp_c;(R)-2,3-Dihydroxy-3-methylpentanoate;c;-1;C6H11O4
4abut_p;4-Aminobutanoate;p;0;C4H9NO2
4abutn_c;4-Aminobutanal;c;1;C4H10NO
3dhgulnp_c;3-keto-L-gulonate-6-phosphate;c;-3;C6H8O10P
4abz_c;4-Aminobenzoate;c;-1;C7H6NO2
3dhq_c;3-Dehydroquinate;c;-1;C7H9O6
4adcho_c;4-amino-4-deoxychorismate;c;-1;C10H10NO5
23doguln_c;2,3-Dioxo-L-gulonate;c;-1;C6H7O7
3dhsk_c;3-Dehydroshikimate;c;-1;C7H7O5
25aics_c;(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate;c;-4;C13H15N4O12P
4ahmmp_c;4-Amino-5-hydroxymethyl-2-methylpyrimidine;c;0;C6H9N3O
4ampm_c;4-Amino-2-methyl-5-phosphomethylpyrimidine;c;-2;C6H8N3O4P
3gmp_e;Guanosine 3  phosphate C10H12N5O8P;e;-2;C10H12N5O8P
4c2me_c;4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol;c;-2;C14H23N3O14P2
3gmp_p;Guanosine 3  phosphate C10H12N5O8P;p;-2;C10H12N5O8P
4h2opntn_c;4-Hydroxy-2-oxopentanoate;c;-1;C5H7O4
25dkglcn_c;2,5-diketo-D-gluconate;c;-1;C6H7O7
25drapp_c;2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate;c;-2;C9H14N5O8P
3haACP_c;(3R)-3-Hydroxyacyl-[acyl-carrier protein];c;-1;C15H27N2O9PRS
26dap_LL_c;LL-2,6-Diaminoheptanedioate;c;0;C7H14N2O4
3hbcoa_c;(S)-3-Hydroxybutanoyl-CoA;c;-4;C25H38N7O18P3S
26dap__M_c;Meso-2,6-Diaminoheptanedioate;c;0;C7H14N2O4
3hcddec5eACP_c;(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein];c;-1;C23H41N2O9PRS
26dap__M_e;Meso-2,6-Diaminoheptanedioate;e;0;C7H14N2O4
4hba_c;4-Hydroxy-benzyl alcohol;c;0;C7H8O2
3hcinnm_c;3-hydroxycinnamic acid;c;-1;C9H7O3
4hbz_c;4-Hydroxybenzoate;c;-1;C7H5O3
26dap__M_p;Meso-2,6-Diaminoheptanedioate;p;0;C7H14N2O4
3hcinnm_e;3-hydroxycinnamic acid;e;-1;C9H7O3
2agpe120_c;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0);c;0;C17H36NO7P1
4hoxpacd_e;4-Hydroxyphenylacetaldehyde;e;0;C8H8O2
3hcinnm_p;3-hydroxycinnamic acid;p;-1;C9H7O3
4hoxpacd_p;4-Hydroxyphenylacetaldehyde;p;0;C8H8O2
2agpe120_p;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0);p;0;C17H36NO7P1
4hthr_c;4-Hydroxy-L-threonine;c;0;C4H9NO4
3hcmrs7eACP_c;(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein];c;-1;C25H45N2O9PRS
4mhetz_c;4-Methyl-5-(2-hydroxyethyl)-thiazole;c;0;C6H9NOS
2agpe140_c;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0);c;0;C19H40NO7P1
3hcpalm9eACP_c;(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein];c;-1;C27H49N2O9PRS
2agpe140_p;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0);p;0;C19H40NO7P1
4mop_c;4-Methyl-2-oxopentanoate;c;-1;C6H9O3
3hcvac11eACP_c;(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein];c;-1;C29H53N2O9PRS
4mpetz_c;4-Methyl-5-(2-phosphoethyl)-thiazole;c;-2;C6H8NO4PS
2agpe141_c;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1);c;0;C19H38NO7P1
2agpe141_p;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1);p;0;C19H38NO7P1
3hdcoa_c;(S)-3-Hydroxydecanoyl-CoA;c;-4;C31H50N7O18P3S
2agpe160_c;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0);c;0;C21H44NO7P1
4pasp_c;4-Phospho-L-aspartate;c;-2;C4H6NO7P
3hddcoa_c;(S)-3-Hydroxydodecanoyl-CoA;c;-4;C33H54N7O18P3S
4per_c;4-Phospho-D-erythronate;c;-3;C4H6O8P
4ppan_c;D-4'-Phosphopantothenate;c;-3;C9H15NO8P
2agpe160_p;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0);p;0;C21H44NO7P1
3hddecACP_c;(R)-3-Hydroxydodecanoyl-[acyl-carrier protein];c;-1;C23H43N2O9PRS
2agpe161_c;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1);c;0;C21H42NO7P1
4ppcys_c;N-((R)-4-Phosphopantothenoyl)-L-cysteine;c;-3;C12H20N2O9PS
3hdecACP_c;(R)-3-Hydroxydecanoyl-[acyl-carrier protein];c;-1;C21H39N2O9PRS
4r5au_c;4-(1-D-Ribitylamino)-5-aminouracil;c;0;C9H16N4O6
2agpe161_p;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1);p;0;C21H42NO7P1
2agpe180_c;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0);c;0;C23H48NO7P1
3hhcoa_c;(S)-3-Hydroxyhexanoyl-CoA;c;-4;C27H42N7O18P3S
2agpe180_p;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0);p;0;C23H48NO7P1
5aizc_c;5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate;c;-3;C9H11N3O9P
3hhdcoa_c;(S)-3-Hydroxyhexadecanoyl-CoA;c;-4;C37H62N7O18P3S
5aop_c;5-Amino-4-oxopentanoate;c;0;C5H9NO3
5aprbu_c;5-Amino-6-(5'-phosphoribitylamino)uracil;c;-2;C9H15N4O9P
2agpe181_c;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1);c;0;C23H46NO7P1
3hhexACP_c;(R)-3-Hydroxyhexanoyl-[acyl-carrier protein];c;-1;C17H31N2O9PRS
2agpe181_p;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1);p;0;C23H46NO7P1
5apru_c;5-Amino-6-(5'-phosphoribosylamino)uracil;c;-2;C9H13N4O9P
3hmrsACP_c;(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein];c;-1;C25H47N2O9PRS
2agpg120_c;2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0);c;-1;C18H36O9P1
3hocoa_c;(S)-3-Hydroxyoctanoyl-CoA;c;-4;C29H46N7O18P3S
2agpg120_p;2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0);p;-1;C18H36O9P1
5caiz_c;5-phosphoribosyl-5-carboxyaminoimidazole;c;-3;C9H11N3O9P
3hoctACP_c;(R)-3-Hydroxyoctanoyl-[acyl-carrier protein];c;-1;C19H35N2O9PRS
5dglcn_c;5-Dehydro-D-gluconate;c;-1;C6H9O7
2agpg140_c;2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0);c;-1;C20H40O9P1
2agpg140_p;2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0);p;-1;C20H40O9P1
5dglcn_e;5-Dehydro-D-gluconate;e;-1;C6H9O7
aacoa_c;Acetoacetyl-CoA;c;-4;C25H36N7O18P3S
5dglcn_p;5-Dehydro-D-gluconate;p;-1;C6H9O7
5dh4dglc_c;5-Dehydro-4-deoxy-D-glucarate;c;-2;C6H6O7
5drib_c;5'-deoxyribose;c;0;C5H10O4
2agpg141_c;2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1);c;-1;C20H38O9P1
2agpg141_p;2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1);p;-1;C20H38O9P1
2agpg160_c;2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0);c;-1;C22H44O9P1
2agpg160_p;2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0);p;-1;C22H44O9P1
aact_c;Aminoacetone;c;1;C3H8NO
5mdr1p_c;5-Methylthio-5-deoxy-D-ribose 1-phosphate;c;-2;C6H11O7PS
5mdru1p_c;5-Methylthio-5-deoxy-D-ribulose 1-phosphate;c;-2;C6H11O7PS
acACP_c;Acetyl-ACP;c;-1;C13H23N2O8PRS
5mta_c;5-Methylthioadenosine;c;0;C11H15N5O3S
ac_c;Acetate;c;-1;C2H3O2
5mthf_c;5-Methyltetrahydrofolate;c;-1;C20H24N7O6
ac_e;Acetate;e;-1;C2H3O2
